date,description,category,amount
2023-11-01,Whole Foods,Groceries,152.40
2023-11-05,Netflix,Entertainment,15.99
2023-11-10,Shell Station,Transport,45.00
2023-11-15,Utilities Bill,Utilities,120.50
2023-11-20,Amazon,Shopping,65.20
2023-12-02,Whole Foods,Groceries,145.10
2023-12-06,Disneyland,Entertainment,200.00
2023-12-12,Shell Station,Transport,50.00
2023-12-15,Utilities Bill,Utilities,115.00
2023-12-24,Last Minute Gifts,Shopping,300.00
2024-01-05,Whole Foods,Groceries,160.00
2024-01-07,Cinema,Entertainment,30.00
